2023-07-31 10:44:56 [queue.INFO] [yii\db\Connection::open] Opening DB connection: mysql:host=127.0.0.1;dbname=whitenoise;port=8889 {"memory":768584} 
2023-07-31 10:44:56 [queue.INFO] [yii\web\Session::open] Session started {"memory":1671920} 
2023-07-31 10:44:56 [queue.INFO] [nystudio107\codeeditor\CodeEditor::bootstrap] CodeEditor module bootstrapped {"memory":1699144} 
2023-07-31 10:44:56 [queue.INFO] [adigital\cookieconsentbanner\CookieConsentBanner::init] Cookie Consent Banner plugin loaded {"memory":1835720} 
2023-07-31 10:44:56 [queue.INFO] [nystudio107\cookies\Cookies::init] Cookies plugin loaded {"memory":1855280} 
2023-07-31 10:44:56 [queue.INFO] [vaersaagod\matrixmate\MatrixMate::init] MatrixMate plugin loaded {"memory":2233944} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::beforeExec]  [944] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Started {"memory":2764832} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::afterExec]  [944] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Done (time: 0.003s) {"memory":2775328} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::beforeExec]  [945] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Started {"memory":2778808} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::afterExec]  [945] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Done (time: 0.001s) {"memory":2780256} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::beforeExec]  [946] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Started {"memory":2783736} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::afterExec]  [946] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Done (time: 0.001s) {"memory":2785184} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::beforeExec]  [947] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Started {"memory":2788664} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::afterExec]  [947] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Done (time: 0.001s) {"memory":2790112} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::beforeExec]  [948] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Started {"memory":2799544} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::afterExec]  [948] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Done (time: 0.001s) {"memory":2800992} 
2023-07-31 10:44:56 [queue.INFO] [craft\queue\QueueLogBehavior::beforeExec]  [949] Purge Unfinalized Assets (attempt: 1, pid: 1363) - Started {"memory":2804472} 
